"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"A1BG",3.07555501929795,-0.622199133716777,0.632780567938673,-0.983277877422239,0.325470695054871,NA
"A1BG-AS1",6.28717016303738,0.298600344569821,0.50023253918624,0.596923073128296,0.550558741773417,NA
"A2M",6.05351833227314,0.451557286537882,0.654342563508459,0.69009309759206,0.490135643568799,NA
"A2M-AS1",1.13609392139492,-1.41524298928854,1.42500972350474,-0.993146198194228,0.32063871302891,NA
"A2MP1",0.869656060206678,0.29020945128805,2.92739756189043,0.0991356469876407,0.921030569278264,NA
"A4GALT",30.9621465394379,0.118335566920998,0.27340756939767,0.432817449720567,0.665147395317019,NA
"AAAS",104.503525706639,0.0166849017875601,0.126631053047993,0.13175995449739,0.895174162005687,NA
"AACS",29.9828451004188,-0.0102181936737802,0.207921996545733,-0.0491443610754894,0.960804251069927,NA
"AADACP1",3.44876201710821,0.443796675153468,0.923591247454878,0.480511997462546,0.63086337427569,NA
"AADAT",11.8508517482773,0.191806981865527,0.406646082392329,0.47168038786237,0.637154937891939,NA
"AAGAB",72.4762060416113,-0.0912702856618046,0.150947554934157,-0.604648983559997,0.54541225242078,NA
"AAK1",136.625387413823,-0.159963409238568,0.144624967215068,-1.10605666724674,0.268701992836904,0.673851241246418
"AAMDC",195.190369485818,-0.112017919452602,0.0984884054125788,-1.13737164271619,0.255382956607272,0.658707711567082
"AAMP",174.821786364386,-0.0987417332848979,0.0942988686794146,-1.0471147179993,0.295046671964993,0.698755987593912
"AAR2",42.9960601594122,0.0578023767204989,0.175481139422799,0.329393671084114,0.741858150877496,NA
"AARD",5.64134264985272,0.0726553541242196,0.666755946905548,0.108968438094054,0.913227523981639,NA
"AARS1",229.988537947071,0.257820983416141,0.16235765776231,1.58798166325846,0.112290485595708,0.489822684013331
"AARS2",29.2230906193069,-0.0747939860165977,0.202662075254204,-0.369057634107327,0.712084766380082,NA
"AARSD1",6.81121264092322,0.160663068965548,0.427299911655432,0.375996026638788,0.706919849940975,NA
"AASDH",45.7142502559065,-0.228435912352318,0.208240501363134,-1.09698118693043,0.272649616179109,NA
"AASDHPPT",155.897099303746,-0.190796706871999,0.112262607184026,-1.69955706230157,0.089214272654119,0.448116389577853
"AASS",79.1043662882238,0.287378326052122,0.140676665330807,2.04282867649968,0.0410694007499452,NA
"AATBC",0.859152636630316,-0.469831327261245,1.23543412126617,-0.380296544488932,0.703725300282226,NA
"AATF",132.624634164787,0.0385918508736296,0.142358714130206,0.271088785182003,0.786322746865817,0.938690763000402
"AATK",9.71638391374275,0.116677925429737,0.465604626738641,0.250594428683013,0.802127689577517,NA
"ABALON",1.65410971199062,0.199052331179689,0.786870995435668,0.25296691876345,0.800293776928008,NA
"ABAT",21.8566870962429,0.113581597830388,0.323517088605887,0.351083765991583,0.725525506593441,NA
"ABCA1",6.99701169496079,-0.394343261744218,0.55357467322114,-0.712357845870394,0.476243211996135,NA
"ABCA10",4.13583590915028,1.4472370683047,1.08838473034619,1.32971092661726,0.183613533344237,NA
"ABCA11P",3.01188921340428,0.561972995687956,0.806624863178469,0.696696843032494,0.485992534907033,NA
"ABCA12",12.1245750996425,0.724370353064249,0.828068573674832,0.874770974400843,0.381698533309053,NA
"ABCA13",2.90404562965067,-0.633454781688513,0.700290104508601,-0.904560520861583,0.365698258327687,NA
"ABCA17P",6.10479728949538,-0.472874066421758,0.50313127112235,-0.939862206073781,0.347288245627949,NA
"ABCA2",41.131420234129,0.117832406480677,0.257122558523645,0.458273311984958,0.646756095349734,NA
"ABCA3",22.7892598236654,-0.189490149181347,0.268414320210893,-0.705961399646875,0.480212142536924,NA
"ABCA4",0.606500112057276,0.789078688742363,3.09218131583742,0.255185129248692,0.798580116085621,NA
"ABCA5",55.5808964100329,0.279825512691548,0.270056232465933,1.03617498524811,0.300120514570859,NA
"ABCA7",47.8244330570706,0.437702484510278,0.358286247095736,1.22165583540615,0.221837804230033,NA
"ABCA8",5.55410400603165,-0.0607834595884384,0.664683381388304,-0.0914472383249328,0.927137228206648,NA
"ABCB1",2.61386229894504,1.10145793339191,1.3330569585761,0.82626471907729,0.408653942454342,NA
"ABCB10",26.6662558381386,-0.358644529448072,0.301657406502301,-1.18891338888885,0.234473750919741,NA
"ABCB4",2.73568166549758,1.86766516573195,1.33600409368979,1.39794868485306,0.162128477369323,NA
"ABCB6",2.65882118338005,-3.49543202262993,1.35550671066153,-2.57869031199709,0.00991756534167413,NA
"ABCB7",53.1024463391469,0.110889300649004,0.159606762498497,0.694765678553552,0.487202160339199,NA
"ABCB8",38.3163737691971,-0.107503111263252,0.232597515938146,-0.462185121924689,0.643948571659416,NA
"ABCB9",20.0987531109567,-0.23085200996559,0.284288038916846,-0.812035606018281,0.41677120083012,NA
"ABCC1",30.4293889061952,0.259768140636661,0.255388613567835,1.01714848210202,0.30908279954726,NA
"ABCC10",21.4615197079031,0.131604225833685,0.265669126183101,0.495368911414202,0.620339735493143,NA
"ABCC11",1.08043892523463,0.655953510692047,1.58315564504744,0.414332925978603,0.678630303498933,NA
"ABCC13",1.08014876397822,0.768376358541818,2.41082092972598,0.318719797504477,0.749939000750296,NA
"ABCC2",2.57590765018694,1.59049349960012,1.06885667728185,1.48803252429018,0.136742316499829,NA
"ABCC3",19.2860137371165,-0.0810766177456419,0.516722228257403,-0.156905612555251,0.875319236472152,NA
"ABCC4",42.1624667888143,0.0966458198078529,0.212522332697127,0.454756065310022,0.649284741137697,NA
"ABCC5",45.4236894820084,0.0538723584316754,0.215808485276235,0.249630399669961,0.802873187160365,NA
"ABCC6",1.98541418969955,0.598695506653948,1.05211514113384,0.569039911362503,0.569329055003657,NA
"ABCC6P2",3.17109992238059,0.715558869775709,0.998555223894408,0.716594187935845,0.473624531748958,NA
"ABCC8",1.31146197137433,-1.72427963211364,3.26623974556969,-0.527909696296006,0.59756201447522,NA
"ABCC9",0.408225065320249,0.746108119322237,3.68839863947356,0.202285108593557,0.839693840956676,NA
"ABCD1",16.4709871711286,0.179534522050846,0.342809214917739,0.523715566088057,0.600476387275317,NA
"ABCD2",2.30319575163178,-1.66247102488797,1.19029839694903,-1.3966842508981,0.162508542216904,NA
"ABCD3",98.2290657088885,-0.163222521336009,0.15147852854646,-1.07752909209141,0.281243961080731,NA
"ABCD4",36.3873648197272,-0.24654141563844,0.201925561988106,-1.22095198453855,0.222104200126573,NA
"ABCE1",224.251978075181,-0.0977688837011451,0.0854764810508785,-1.14381034992479,0.252702296607657,0.656198932633146
"ABCF1",582.899187601469,-0.132189800891442,0.096616083560452,-1.36819663993865,0.171250533085498,0.577867535127774
"ABCF3",43.419818424925,-0.0566235813860346,0.163989655700551,-0.345287519167858,0.729878228630738,NA
"ABCG1",10.0384178794195,-0.128065209357517,0.441501624146801,-0.290067357294556,0.771764707812352,NA
"ABCG2",4.76165766709423,0.298726769125334,1.08782073796405,0.274610290740023,0.783615659328652,NA
"ABCG8",2.26283421256401,-0.725099363085024,1.09774500165038,-0.660535335615186,0.508910350398337,NA
"ABHD1",3.93009107743046,0.543689735454074,0.596944427760062,0.910787855905084,0.362407162373633,NA
"ABHD10",36.1381380272462,-0.0962468041157384,0.222620171744611,-0.43233640222932,0.665496933651943,NA
"ABHD11",62.7452624647288,-0.312810804793905,0.201975978099987,-1.54875251867353,0.121441223564476,NA
"ABHD11-AS1",4.78118708342615,0.522059065821924,1.08117923805276,0.482860794443453,0.629194580871452,NA
"ABHD12",85.1661150620402,0.00444785231102421,0.156516042921002,0.0284178684051524,0.977328873029816,NA
"ABHD13",39.0899016993221,-0.191226080649468,0.236127714293499,-0.809841746961477,0.418031135574793,NA
"ABHD14A",95.7091449584938,0.0980733345812329,0.160678958123473,0.61036825061978,0.541617894945426,NA
"ABHD14A-ACY1",2.04536478690188,1.21961531313943,1.09918823503169,1.1095600137171,0.26718867005656,NA
"ABHD14B",38.7347209303561,0.26432257177458,0.211457821878789,1.25000139236322,0.211299038706417,NA
"ABHD15",9.34816121499429,0.0923269102042164,0.396462268478992,0.232876915521934,0.815856984413351,NA
"ABHD15-AS1",1.26869057775454,0.531805271908607,1.86855105810228,0.284608370535357,0.775944197611479,NA
"ABHD16A",1.12472090470284,-1.31977880885882,1.26841769258223,-1.04049227362324,0.298111251829859,NA
"ABHD17A",68.1975776436255,0.0616257432065872,0.156237505152528,0.394436298419029,0.69325894919855,NA
"ABHD17AP3",2.12587521145146,1.23720264686787,1.38306226260882,0.894538648270379,0.371033760908723,NA
"ABHD17B",24.6720159064218,0.0149692046262325,0.245193093362109,0.0610506781450221,0.951318848970015,NA
"ABHD17C",14.7440135037912,0.293396712973222,0.31608057107026,0.928233937251413,0.353286233927364,NA
"ABHD18",24.0177677316209,0.277546213460041,0.265975366301759,1.04350345417009,0.296715181872653,NA
"ABHD2",64.6328856910107,0.113453306322526,0.194466725945187,0.58340729382416,0.559619148895299,NA
"ABHD3",41.3513062316766,-0.0138857874186762,0.22788505038498,-0.0609332968319689,0.951412331666695,NA
"ABHD4",19.8205660778433,-0.4465210655932,0.341906481431461,-1.30597426443555,0.191561309563625,NA
"ABHD5",39.263740826681,-0.0200805402470431,0.251064438534296,-0.07998161891932,0.936251875107131,NA
"ABHD6",87.4495587854246,0.3360305541753,0.215629307168422,1.55837144119207,0.11914522250906,NA
